Kids_First_Biospecimen_ID,PC1,PC2,ecotype
BS_G1E5DATJ,-1.99203212710946,-2.52479227501142,Inflamed
BS_G257VSS9,2.73008097107077,-0.633124062725617,Intermediate
BS_G3NN392N,0.446463875430417,1.42796350812864,Intermediate
BS_G3RJTBZD,4.6210327085055,1.49451835791258,Immune-desert
BS_G5NHSFD4,4.66419582440467,0.375712003407709,Immune-desert
BS_G8TXTX0H,0.528615562554473,-1.6548838171661,Intermediate
BS_GG9W3J9Y,3.93609773126315,0.479515132439796,Immune-desert
BS_GW0GKWMS,3.30277802938813,0.250806560685072,Immune-desert
BS_GWHYM3R4,0.97674030212241,-0.731081386064468,Intermediate
BS_GWSJ4Z9H,-3.07971423995401,0.815382694083628,Inflamed
BS_H5VQJR7X,-1.9319710999589,1.60864097241013,Intermediate
BS_H97S5SQN,0.37876016769926,-1.15003116265747,Intermediate
BS_H9JYKFTV,0.846209824488513,1.43422103774022,Intermediate
BS_HDHXX8Q7,0.427178913354375,0.430304425012634,Intermediate
BS_HDPCQETG,-4.31648977655534,2.29540771899504,Inflamed
BS_HJRTC9JQ,-4.1386595171921,3.45451512675282,Inflamed
BS_HJV0J603,-7.21105917021918,-5.78957451853948,Inflamed
BS_HRJ9145M,-6.00326293127101,2.27551060575347,Inflamed
BS_HWGWYCY7,-6.10221713999411,2.9882375593887,Inflamed
BS_HZ9AYDCQ,-2.30575014601405,-1.0861669732312,Inflamed
BS_J4JY2F3H,-3.00106246405486,1.86181926670335,Inflamed
BS_J6212Y48,0.784605327474616,0.969780705354562,Intermediate
BS_J6W1RB7A,-0.72892122438575,1.23877343379621,Intermediate
BS_J9CBGP57,1.64226346607453,1.43983966800758,Intermediate
BS_JB43XBCQ,-5.48593809491831,0.769612980740971,Inflamed
BS_JDSNFYQ0,-1.82389200133761,0.751531573050043,Intermediate
BS_JJVH7WR0,6.14066370109608,0.276811302959016,Immune-desert
BS_JMD386Z2,-0.0407417400706904,1.91189123772218,Intermediate
BS_JP95KMRD,-4.57633818188165,-4.22256944235006,Inflamed
BS_JQGJQ2QZ,-2.13772909828548,-6.37014229062034,Inflamed
BS_JQVAWTTM,-0.988089270467625,0.971717674043763,Intermediate
BS_JQXHHK0K,4.00448511779187,1.0920832554598,Immune-desert
BS_JRYJGYC4,0.452362375572156,1.86038693162568,Intermediate
BS_JS95PE0J,0.60547787342075,2.00875610624928,Intermediate
BS_JTWNJ8T7,8.27487007994082,-1.22071806587901,Immune-desert
BS_JVW2JJ39,7.30850398078426,-0.922215302137031,Immune-desert
BS_K0X3PZGN,-12.6902405272904,-4.24520476336847,Inflamed
BS_K17VQECG,-1.81859143515285,2.77277774568976,Intermediate
BS_K2PCC777,-7.52478430800756,-2.35041932175251,Inflamed
BS_K74N1BXQ,-1.20536653244754,-2.25319971141497,Intermediate
BS_K81PZXP2,-2.48964449576038,1.23015837880472,Inflamed
BS_K88T8SW7,-11.4792194994808,-11.1610988454894,Inflamed
