sample,MCP_NK,QTS_NK,EPIC_NK,xCell_NK,NK_ssGSEA
BS_4B0BAVTX,0.0299877226978878,0.0152928131312235,1.40060908286137e-09,0,0.22293855085033
BS_4BM3F6XJ,0.0259622476211154,0.0299834915847466,4.76735526862451e-08,3.9596046105383e-18,0.330951192022303
BS_4BWB0FA0,0.0444572432437599,0.0232603249118356,4.58775752534245e-09,0,0.294536863739568
BS_4C4MZ4NT,0.0266547310780805,0.0148830116045452,1.44529978681865e-09,0,0.317619213913524
BS_4C6B11E4,0.0711190470210414,0.0108253972303269,2.41406464849666e-09,6.19024626828373e-18,0.294921499687714
BS_4CXE5XEP,0.0984312981565528,0.0389287468996509,3.26908132975782e-08,2.00126979700725e-19,0.420942658417267
BS_4GNN7J8E,0.298011669269546,0.107860802117521,2.10535909477184e-09,0,0.434054182739385
BS_4HQ3T2NC,0.0315676568741288,0.0164502002517567,6.83603240014354e-10,1.99087743858654e-18,0.293193079301274
BS_4KNBXM3C,0.0679236212897161,0.0139788208716969,1.65882297766871e-09,1.93126789248971e-18,0.461426322094691
BS_4N1GNHX4,0.0682493966423061,0.0301704157555722,5.28030056401823e-05,2.4974962112802e-17,0.420769964519511
BS_4NF35AF6,0.00715996726886388,0.0194802549934213,2.64098925219311e-11,0,0.191503864804008
BS_4PPHAQXF,0.0881862561235879,0.147013619286687,4.27727843564578e-09,8.53616429061981e-17,0.285484415705654
BS_4Q3KRCZT,0.121272928583272,0.0771865314038486,4.50714163687206e-07,0,0.358003632828591
BS_4QW2S1Q8,0.0266197176074121,0.0129865012893588,2.55862139382987e-09,0,0.286166266389125
BS_4SMPV083,0.0752886075941771,0.0119758055457921,2.27606945827172e-08,1.09143663048151e-18,0.413377624124515
BS_4T0HQ9QF,0.00712495379819547,0.0211032991263863,5.15546259517435e-08,0,0.300965367283904
BS_4TZQY7TT,0.507389657200819,0.0553983205420295,0.00126460650293482,0,0.553341015256039
BS_4V42BXBT,0.0314458192736259,0.0324441778793261,2.42588552011503e-10,0,0.22499733356055
BS_4Y6BCYK5,0.0142849210670594,0.0229760348908193,7.54946928928792e-09,2.56794344072519e-20,0.286132352037571
BS_4Z2F4P9N,0.0504737773455337,0.0116197200518854,8.88927666694723e-09,8.56214917694061e-19,0.312531453913952
BS_503DZ8BN,0.122220686630977,0.0215657477290926,5.34245438360591e-05,0,0.440947075500652
BS_51RA1PGE,0.0457429386910154,0.00873586485895494,0.0011597594372432,0,0.378363887627054
BS_52426AMF,0.0697805107389565,0.0194660162712549,3.00187649060583e-10,9.65957113460805e-18,0.334100402591539
BS_52C576HH,0.0247586206328903,0.0339476439238711,3.91685273652666e-09,0,0.222519119338174
BS_52DAPP1Y,0.0175669052250329,0.0194124108403296,8.74711254036476e-10,0,0.187689893490282
