ecotype	gene	log2FC	q_BH
Lymphocyte-inflamed	HAVCR2	1.9563412159590086	0.0
Lymphocyte-inflamed	PTPN6	1.9549952336694045	0.0
Lymphocyte-inflamed	SPI1	1.9490927720593474	0.0
Lymphocyte-inflamed	HCST	1.946593110121718	0.0
Lymphocyte-inflamed	MS4A4A	1.9431120167058273	0.0
Lymphocyte-inflamed	CYBB	1.9416574277890386	0.0
Lymphocyte-inflamed	NPC2	1.9406048021887257	0.0
Lymphocyte-inflamed	S100A10	1.9347001185294825	0.0
Lymphocyte-inflamed	TIMP1	1.9340971881232791	1.1748952489855692e-13
Lymphocyte-inflamed	COL3A1	1.9330287949256975	2.7652064153224127e-11
Lymphocyte-inflamed	TREM1	1.9279781431920129	0.0
Lymphocyte-inflamed	CH25H	1.926328667638077	0.0
Lymphocyte-inflamed	OLFML3	1.9184673830851673	0.0
Lymphocyte-inflamed	HLA-DRB5	1.9167098755016885	5.580752432681454e-15
Lymphocyte-inflamed	APBB1IP	1.9155445329014538	0.0
Lymphocyte-inflamed	C5AR1	1.9146298385672302	0.0
Lymphocyte-inflamed	CFB	1.9117377693202604	0.0
Lymphocyte-inflamed	COL1A2	1.9073321345142782	1.671939461115531e-11
Lymphocyte-inflamed	CD86	1.9011919694641062	0.0
Lymphocyte-inflamed	IER3	1.897166374384827	0.0
Lymphocyte-inflamed	ALOX5	1.8883790855634919	0.0
Lymphocyte-inflamed	TNFSF13	1.8860341573738828	0.0
Lymphocyte-inflamed	GPR183	1.8813568224696897	0.0
Lymphocyte-inflamed	RGS1	1.8803066872632757	5.580752432681454e-15
Lymphocyte-inflamed	LILRB4	1.8780345060350339	0.0
Lymphocyte-inflamed	C1orf162	1.8773844105180832	0.0
Lymphocyte-inflamed	SLCO2B1	1.8729526573323847	0.0
Lymphocyte-inflamed	IGHA1	1.8721870922378936	0.0
Lymphocyte-inflamed	MGP	1.8685926870475855	1.0718678120958886e-14
Lymphocyte-inflamed	HLA-DOA	1.8663286561678376	0.0
Lymphocyte-inflamed	TGFBI	1.8625096255762141	0.0
Lymphocyte-inflamed	PTAFR	1.8566004632201334	0.0
Lymphocyte-inflamed	EMP3	1.855176130184578	0.0
Lymphocyte-inflamed	NAPSB	1.8550003869267147	0.0
Lymphocyte-inflamed	ENSG00000288681	1.8508741567851001	1.7489783900784933e-05
Lymphocyte-inflamed	SERPINB1	1.8500846385690002	0.0
Lymphocyte-inflamed	MYADM	1.847118959770699	0.0
Lymphocyte-inflamed	SAMSN1	1.8453220364478882	0.0
Lymphocyte-inflamed	CYTH4	1.8450762494748303	0.0
Lymphocyte-inflamed	CD44	1.8387991312253167	0.0
Lymphocyte-inflamed	GLIPR1	1.8359538138209444	0.0
Lymphocyte-inflamed	LCP1	1.8354501592505121	0.0
Lymphocyte-inflamed	CORO1A	1.832549263303883	0.0
Lymphocyte-inflamed	LCP2	1.8283450266193535	0.0
Lymphocyte-inflamed	FPR3	1.8232441164558866	0.0
Lymphocyte-inflamed	ENSG00000288542	1.8221170890606704	0.00011424889608657236
Lymphocyte-inflamed	CAPG	1.821667770036897	0.0
Lymphocyte-inflamed	CCR1	1.8211380517049627	0.0
Lymphocyte-inflamed	SYNGR2	1.8152187825482575	0.0
Lymphocyte-inflamed	AOAH	1.8148581641940638	0.0
Lymphocyte-inflamed	IGLC2	1.8117143118251011	4.049240259882499e-13
Lymphocyte-inflamed	HCK	1.810737292807985	0.0
Lymphocyte-inflamed	IGHM	1.8105026283929653	0.0
Lymphocyte-inflamed	CX3CR1	1.810338008795871	5.50814346653298e-12
Lymphocyte-inflamed	PLAAT4	1.7988415191854976	0.0
Lymphocyte-inflamed	ARHGAP30	1.7957026081670895	0.0
Lymphocyte-inflamed	ICAM1	1.794445231014345	0.0
