sample,MCP_CD8,QTS_CD8,EPIC_CD8,Cytolytic_ssGSEA
BS_DPF1CX0G,0.0285691521967709,0,0.0207281735966771,0.163092698508358
BS_DR079H0D,0,0,0.0274128634195238,0.243511839728191
BS_DS438CXE,0,0,0.0086112667191209,0.0430440370469055
BS_DSPVSM7D,0.411426245726465,0,0.0304726469696091,0.220658784933986
BS_DSS3S5XD,0.604071323668861,0,0.0150823775785664,0.362550925937717
BS_DV86M0Y7,0.20163386116965,0,0.0235983660549228,0.253446662589973
BS_DZNXFPH1,0.0976107966264223,0,0.0211667451388756,0.440840748084557
BS_E2DEWCSK,0.37851162325373,0,0.0191219713777386,0.377226724299741
BS_E3EJHXQV,1.29278174922785,0.000477936810870041,0.020798851104387,0.483313954855116
BS_E4GC9EXR,0.594548549550354,0,0.0228808769775632,0.395422422192302
BS_E7NVYA6G,0.16349873228288,0,0.0429979578468149,0.416475972512695
BS_E94QRJDW,0.575312330687437,0,0.0319500135734362,0.333599083549746
BS_E9CYN4NP,0.0143552929770701,0,0.0249502697032265,0.156077273284566
BS_EB0XRBT9,0.150559676575381,0,0.0140126170758388,0.421978672304761
BS_EBMCTR80,0.0285691521967709,0,0.0165390151364793,0.180930645228513
BS_ED8G98XT,0,0,0.00451871566310812,0.195794498520197
BS_EDJ5TV0P,0.855989697308481,0.00330806334806192,0.0235050181337499,0.0994309361948948
BS_EFEZB0ZH,0.6959938131099,0,0.0177432286831952,0.420609224344324
BS_EHVYJAVA,0.0565835283663675,0,0.019551012636507,0.131976327830865
BS_EMAJ7P3P,0.137503523749935,0,0.0149144826604381,0.405035751150833
BS_EMQM7HTA,0.16349873228288,0,0.0143668913630027,0.308447389819574
BS_ENEYB4TG,0.310340120612151,0,0.0219079368364542,0.44391804486013
BS_ET8CJXSF,0.310340120612151,0,0.0197955317257805,0.221841906411135
BS_EXGBH3TD,0.286881147788162,0,0.0205357474582722,0.264497846601757
BS_EXPJQZTH,0.150559676575381,0,0.0392377527665819,0.256617912025984
BS_EYSS0ZDS,0.0565835283663675,0,0.0129457891916618,0.29631445159617
BS_EZ3147MX,0.454175893185802,0,0.020730052905735,0.284854795301045
BS_F0JB4EAK,0.632268215499513,0,0.00752452294273929,0.161873737833202
