feature	family	group_A	group_B	z	p	q_BH_per_feature	mean_A_z_or_frac	mean_B_z_or_frac
ssGSEA_IFN_Alpha_Response	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	6.43738748165333	1.2154743878056706e-10	1.823211581708506e-10	0.7534443366109576	0.6947839472281938
ssGSEA_IFN_Gamma_Response	ssGSEA	Immune-desert	Lymphocyte-inflamed	-13.55749497432873	0.0	0.0	0.5028483640679456	0.6788221628633899
ssGSEA_IFN_Gamma_Response	ssGSEA	Immune-desert	Myeloid-dominant	-6.501864140904574	7.933076417998564e-11	7.933076417998564e-11	0.5028483640679456	0.5818000075205088
ssGSEA_IFN_Gamma_Response	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	8.947114668963314	0.0	0.0	0.6788221628633899	0.5818000075205088
ssGSEA_M1_Macrophage	ssGSEA	Immune-desert	Lymphocyte-inflamed	-15.81144835904222	0.0	0.0	0.2523678045108323	0.48539243264399967
ssGSEA_M1_Macrophage	ssGSEA	Immune-desert	Myeloid-dominant	-8.104512834147577	4.440892098500626e-16	4.440892098500626e-16	0.2523678045108323	0.3712732513638219
ssGSEA_M1_Macrophage	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	9.851352153174387	0.0	0.0	0.48539243264399967	0.3712732513638219
ssGSEA_M2_Macrophage	ssGSEA	Immune-desert	Lymphocyte-inflamed	-14.041823220558234	0.0	0.0	0.4059028978610648	0.5778510619093478
ssGSEA_M2_Macrophage	ssGSEA	Immune-desert	Myeloid-dominant	-7.149951417043211	8.681944052568724e-13	8.681944052568724e-13	0.4059028978610648	0.4894331919032207
ssGSEA_M2_Macrophage	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	8.801886389815868	0.0	0.0	0.5778510619093478	0.4894331919032207
ssGSEA_MAPK_Activity	ssGSEA	Immune-desert	Lymphocyte-inflamed	-7.501276621435571	6.328271240363392e-14	1.8984813721090177e-13	0.6828527531335207	0.7781203276474791
ssGSEA_MAPK_Activity	ssGSEA	Immune-desert	Myeloid-dominant	-6.125744628441472	9.026046576821045e-10	1.3539069865231568e-09	0.6828527531335207	0.7583156937422314
ssGSEA_MAPK_Activity	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	2.12389299015737	0.03367909269256608	0.03367909269256608	0.7781203276474791	0.7583156937422314
ssGSEA_MDM_Klemm2020	ssGSEA	Immune-desert	Lymphocyte-inflamed	-14.804949363950186	0.0	0.0	0.5508974027816844	0.7704621117663558
ssGSEA_MDM_Klemm2020	ssGSEA	Immune-desert	Myeloid-dominant	-8.261482344440664	2.220446049250313e-16	2.220446049250313e-16	0.5508974027816844	0.6753702941663745
ssGSEA_MDM_Klemm2020	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	8.47202008571283	0.0	0.0	0.7704621117663558	0.6753702941663745
ssGSEA_MHC_Class_I	ssGSEA	Immune-desert	Lymphocyte-inflamed	-10.114780270723742	0.0	0.0	0.8173663893460635	0.8809287900070015
ssGSEA_MHC_Class_I	ssGSEA	Immune-desert	Myeloid-dominant	-5.454400054009245	4.9138463298348256e-08	4.9138463298348256e-08	0.8173663893460635	0.8561806245126011
ssGSEA_MHC_Class_I	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	6.000365342278272	1.968740503954791e-09	2.9531107559321867e-09	0.8809287900070015	0.8561806245126011
ssGSEA_MHC_Class_II	ssGSEA	Immune-desert	Lymphocyte-inflamed	-13.445734069746687	0.0	0.0	0.6622046293913281	0.8532905630927767
ssGSEA_MHC_Class_II	ssGSEA	Immune-desert	Myeloid-dominant	-7.287309802909705	3.161915174132446e-13	3.161915174132446e-13	0.6622046293913281	0.779565715715945
ssGSEA_MHC_Class_II	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	7.93535991652543	1.9984014443252818e-15	2.9976021664879227e-15	0.8532905630927767	0.779565715715945
ssGSEA_MgTAM_Antunes2021	ssGSEA	Immune-desert	Lymphocyte-inflamed	-10.322867545644385	0.0	0.0	0.686507845845037	0.8335713648288561
ssGSEA_MgTAM_Antunes2021	ssGSEA	Immune-desert	Myeloid-dominant	-4.561329001236002	5.083086269008774e-06	5.083086269008774e-06	0.686507845845037	0.758679853224892
ssGSEA_MgTAM_Antunes2021	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	7.247652397618432	4.241051954068098e-13	6.361577931102147e-13	0.8335713648288561	0.758679853224892
ssGSEA_Microglia_Core_Homeostatic	ssGSEA	Immune-desert	Lymphocyte-inflamed	-10.193998482623824	0.0	0.0	0.682256975587826	0.8208874062743013
ssGSEA_Microglia_Core_Homeostatic	ssGSEA	Immune-desert	Myeloid-dominant	-4.323798602096078	1.533653146701397e-05	1.533653146701397e-05	0.682256975587826	0.746378984271248
ssGSEA_Microglia_Core_Homeostatic	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	7.359059588021195	1.851852005074761e-13	2.7777780076121417e-13	0.8208874062743013	0.746378984271248
ssGSEA_Microglia_Klemm2020	ssGSEA	Immune-desert	Lymphocyte-inflamed	-10.127750858235549	0.0	0.0	0.6939259528179541	0.833622867976494
ssGSEA_Microglia_Klemm2020	ssGSEA	Immune-desert	Myeloid-dominant	-4.545582591065911	5.478350958432188e-06	5.478350958432188e-06	0.6939259528179541	0.7632020066522169
ssGSEA_Microglia_Klemm2020	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	7.031881441519418	2.0377033393970123e-12	3.0565550090955185e-12	0.833622867976494	0.7632020066522169
ssGSEA_MoTAM_Antunes2021	ssGSEA	Immune-desert	Lymphocyte-inflamed	-15.01247876413914	0.0	0.0	0.6078295887164932	0.8016747545251702
