gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
CXCL16	-1.7885769944611218	-9.498325164651803	0.0	0.0	3.1666314399127384	4.95520843437386	78	271
CSF3R	-1.4623213895950853	-8.343192297349686	0.0	0.0	2.0232626791401	3.4855840687351853	78	271
HMOX1	-1.9121827358087962	-9.174837018792115	0.0	0.0	3.4668022902582813	5.3789850260670775	78	271
CTSL	-1.6335861113865642	-9.128988305205702	0.0	0.0	4.442927173458024	6.076513284844588	78	271
IFI30	-2.6689374204148106	-11.725171712036312	0.0	0.0	3.020317320853389	5.6892547412682	78	271
PLSCR1	-1.3071068664371053	-8.87108929128213	0.0	0.0	3.5455898469018745	4.85269671333898	78	271
PLAUR	-1.4944656788632211	-8.834155605337521	0.0	0.0	2.1930629628871867	3.687528641750408	78	271
TMEM59	-1.3573937983938364	-8.819509488497417	0.0	0.0	5.878603287682364	7.235997086076201	78	271
CYTL1	-1.4308593819319777	-8.353380900368888	0.0	0.0	1.591173959144155	3.0220333410761326	78	271
VAMP8	-2.4080140315278817	-11.125317709280749	0.0	0.0	2.5151133754245447	4.9231274069524265	78	271
LILRA2	-1.2157633361469644	-8.750736418117798	0.0	0.0	1.1453032178340132	2.3610665539809776	78	271
CD52	-1.9164641719933604	-10.025585370895547	0.0	0.0	0.9601568567471216	2.876621028740482	78	271
OSMR	-1.5853174172169369	-8.546327570045042	0.0	0.0	2.3845824849573085	3.9698999021742454	78	271
TRIM21	-1.21664821137819	-9.093964982327192	0.0	0.0	1.817718424668563	3.034366636046753	78	271
SLA	-1.4804540620559066	-9.149365511244108	0.0	0.0	2.0924440622014706	3.572898124257377	78	271
KYNU	-1.0520992197233854	-10.28857868632872	0.0	0.0	0.4907323178233761	1.5428315375467616	78	271
LGALS3	-2.1192097469859092	-8.50429958259083	0.0	0.0	4.145409383626633	6.264619130612542	78	271
CBX3P4	0.8470578092796053	8.64948717561447	0.0	0.0	1.179860968772435	0.33280315949282974	78	271
FLOT1	-1.1674564819051936	-8.334277269707885	0.0	0.0	5.626612914948383	6.794069396853576	78	271
IL21R	-0.5955932084172199	-8.643119298727468	0.0	0.0	0.18922031348360616	0.784813521900826	78	271
TMED9	-1.348814452660613	-8.560973686885147	0.0	0.0	4.484083612256248	5.832898064916861	78	271
CORO1A	-1.6980179071397363	-8.634204271085666	0.0	0.0	3.385249983935273	5.0832678910750095	78	271
RNASET2	-1.5489931398021932	-8.916301217179843	0.0	0.0	4.532196806167049	6.081189945969242	78	271
HLA-E	-1.5787769272852987	-9.89313353164591	0.0	0.0	5.382061299103609	6.9608382263889075	78	271
TYROBP	-2.068484627246889	-10.28921547401742	0.0	0.0	4.310852161428544	6.379336788675433	78	271
MYOF	-1.501212505982062	-8.985074287559462	0.0	0.0	1.8485770580977532	3.349789564079815	78	271
APOBEC3C	-1.140543771966384	-8.463545170514019	0.0	0.0	1.4158545807881853	2.5563983527545693	78	271
TMED10	-1.2952044602030375	-8.338734783528785	0.0	0.0	5.957195729953622	7.252400190156659	78	271
GPR183	-1.7396214598589674	-9.807167193671388	0.0	0.0	1.0201982261148044	2.759819685973772	78	271
MVP	-1.6005838679868085	-9.45120287568799	0.0	0.0	3.2003014280787636	4.800885296065572	78	271
GAPDHP43	0.5073043232741853	8.297343583763274	0.0	0.0	0.7021209058566932	0.1948165825825079	78	271
